,News Organization,Date,Tweets Ago,Tweet,Compound,Positive,Neutral,Negative
0,@BBCWorld,Mon Sep 17 15:48:15 +0000 2018,0,Coca-Cola 'in talks' over cannabis-infused drinks https://t.co/2asjt2EIMI,0.0,0.0,1.0,0.0
1,@BBCWorld,Mon Sep 17 15:35:41 +0000 2018,1,Valtònyc: Belgian court refuses to extradite Spanish rapper https://t.co/QrxTmIuDgG,0.0,0.0,1.0,0.0
2,@BBCWorld,Mon Sep 17 15:29:45 +0000 2018,2,RT @BBCAfrica: Burkina Faso botched FGM leaves 50 girls in hospital https://t.co/QyEMlCWyXo https://t.co/A6oBYsj3QQ,0.0,0.0,1.0,0.0
3,@BBCWorld,Mon Sep 17 15:05:06 +0000 2018,3,US border agent Juan David Ortiz confesses to murders https://t.co/yYF2GqIS0O,-0.6124,0.0,0.692,0.308
4,@BBCWorld,Mon Sep 17 14:47:01 +0000 2018,4,RT @BBCNorthAmerica: Brett Kavanaugh debate fast becomes political battle https://t.co/eKuMlA3IoB,-0.3818,0.0,0.776,0.224
5,@BBCWorld,Mon Sep 17 14:45:33 +0000 2018,5,"RT @BBCBreaking: US Supreme Court nominee Brett Kavanaugh says sexual assault claim against him is ""completely false"" in first comment sinc…",-0.0516,0.136,0.72,0.144
6,@BBCWorld,Mon Sep 17 13:04:55 +0000 2018,6,"RT @BBCNews: Kitty stash: 'Bag of drugs' found by cat

https://t.co/YK4XAqzZCw",0.0,0.0,1.0,0.0
7,@BBCWorld,Mon Sep 17 12:27:04 +0000 2018,7,"RT @BBCNews: Eyebrow, therefore I am 🤔

Dad's beauty rant goes viral 

https://t.co/kIGATsR962",0.34,0.25,0.592,0.158
8,@BBCWorld,Mon Sep 17 11:40:35 +0000 2018,8,Brett Kavanaugh: Republican senators call for vote delay https://t.co/WuKCvJoc85,-0.3182,0.0,0.777,0.223
9,@BBCWorld,Mon Sep 17 11:35:10 +0000 2018,9,Hélène Pastor murder: Ten on trial in Monaco heiress case https://t.co/RfmcdYNVFu,-0.6908,0.0,0.68,0.32
10,@BBCWorld,Mon Sep 17 11:32:17 +0000 2018,10,War memorial unveiled after Donegal Orange hall fire https://t.co/wQdE7KGIlu,-0.743,0.0,0.526,0.474
11,@BBCWorld,Mon Sep 17 11:19:13 +0000 2018,11,Russian communist hunger strike over 'rigged' far east vote https://t.co/tnzje8NPYk,-0.3612,0.0,0.696,0.304
12,@BBCWorld,Mon Sep 17 10:47:59 +0000 2018,12,"RT @bbcweather: #Florence may well have weakened but as this radar image shows, its still producing some very heavy rainfall, and warnings…",-0.0258,0.067,0.862,0.071
13,@BBCWorld,Mon Sep 17 10:47:35 +0000 2018,13,Teodorin Obiang: $16m seized from Equatorial Guinea leader's son https://t.co/uqaTzhL3Z0,0.0,0.0,1.0,0.0
14,@BBCWorld,Mon Sep 17 10:32:54 +0000 2018,14,Typhoon Mangkhut: Miners and families buried by landslide #OmpongPH https://t.co/RPh4E7N03Y,0.0,0.0,1.0,0.0
15,@BBCWorld,Mon Sep 17 10:27:16 +0000 2018,15,"RT @BBCNews: Christine Lagarde: No-deal #Brexit would lead to ""reduced growth, increased deficit, depreciation of the currency""

IMF chief…",0.25,0.201,0.684,0.115
16,@BBCWorld,Mon Sep 17 09:55:24 +0000 2018,16,Nigeria floods kill more than 100 https://t.co/a0QWBf4wtw,-0.6908,0.0,0.561,0.439
17,@BBCWorld,Mon Sep 17 09:54:25 +0000 2018,17,"RT @BBCSteveR: After last week’s large-scale military manoeuvres across Siberia &amp; the Far East, one Russian newspaper today concludes: “Rus…",0.0,0.0,1.0,0.0
18,@BBCWorld,Mon Sep 17 09:53:09 +0000 2018,18,Cuban President Miguel Díaz-Canel backs same-sex marriage https://t.co/HWBX8Dna3N,-0.0516,0.0,0.854,0.146
19,@BBCWorld,Mon Sep 17 09:50:48 +0000 2018,19,"RT @BBCNews: Christine Lagarde: ""All the likely Brexit scenarios will have costs for the UK economy, and to a lesser extent the EU""

IMF ch…",0.0,0.0,1.0,0.0
20,@BBCWorld,Mon Sep 17 09:24:01 +0000 2018,20,"RT @BBCNews: IMF: No-deal #Brexit would mean ""substantial costs"" for UK economy, and ""to a lesser extent"" EU 

 https://t.co/jCRI2Lzaer",0.2023,0.096,0.904,0.0
